FileDate,Type,LeadCV,Area,FileTime,_id,Strength,Name,Location,LeadEdge,
29-Oct-2015,2,4089,225,17:22:48,56328e2f182da77ce66b0134,66,4304_FF1234168_0002.csv,222,15,
29-Oct-2015,2,4090,239,17:22:48,56328e2f182da77ce66b0135,66,4304_FF1234168_0002.csv,291,14,
29-Oct-2015,2,4089,204,17:22:48,56328e2f182da77ce66b0136,66,4304_FF1234168_0002.csv,344,14,
29-Oct-2015,2,4089,160,17:22:48,56328e2f182da77ce66b0137,66,4304_FF1234168_0002.csv,351,15,
29-Oct-2015,2,4089,244,17:22:48,56328e2f182da77ce66b0138,66,4304_FF1234168_0002.csv,356,14,
29-Oct-2015,2,4032,240,17:22:48,56328e2f182da77ce66b0139,65,4304_FF1234168_0002.csv,391,3,
29-Oct-2015,2,4090,249,17:22:48,56328e2f182da77ce66b013a,64,4304_FF1234168_0002.csv,292,14,
29-Oct-2015,2,4088,315,17:22:48,56328e2f182da77ce66b013b,64,4304_FF1234168_0002.csv,413,15,
29-Oct-2015,2,4055,154,17:22:48,56328e2f182da77ce66b013c,64,4304_FF1234168_0002.csv,2930,5,
29-Oct-2015,2,4057,128,17:22:48,56328e2f182da77ce66b013d,64,4304_FF1234168_0002.csv,2959,22,
29-Oct-2015,2,4089,227,17:22:48,56328e2f182da77ce66b013e,63,4304_FF1234168_0002.csv,206,7,
29-Oct-2015,2,4089,227,17:22:48,56328e2f182da77ce66b013f,63,4304_FF1234168_0002.csv,289,15,
29-Oct-2015,2,4088,258,17:22:48,56328e2f182da77ce66b0140,63,4304_FF1234168_0002.csv,402,13,
29-Oct-2015,2,4089,228,17:22:48,56328e2f182da77ce66b0141,63,4304_FF1234168_0002.csv,423,12,
29-Oct-2015,2,4089,193,17:22:48,56328e2f182da77ce66b0142,62,4304_FF1234168_0002.csv,350,15,
29-Oct-2015,2,4056,811,17:22:48,56328e2f182da77ce66b0143,62,4304_FF1234168_0002.csv,2918,3,
29-Oct-2015,2,4058,243,17:22:48,56328e2f182da77ce66b0144,62,4304_FF1234168_0002.csv,2924,4,
29-Oct-2015,2,4089,192,17:22:48,56328e2f182da77ce66b0145,61,4304_FF1234168_0002.csv,244,4,
29-Oct-2015,2,4090,204,17:22:48,56328e2f182da77ce66b0146,61,4304_FF1234168_0002.csv,364,10,
29-Oct-2015,2,4088,225,17:22:48,56328e2f182da77ce66b0147,61,4304_FF1234168_0002.csv,411,15,
29-Oct-2015,2,4091,201,17:22:48,56328e2f182da77ce66b0148,61,4304_FF1234168_0002.csv,424,12,
29-Oct-2015,2,4057,161,17:22:48,56328e2f182da77ce66b0149,61,4304_FF1234168_0002.csv,2938,8,
29-Oct-2015,2,4020,474,17:22:48,56328e2f182da77ce66b014a,60,4304_FF1234168_0002.csv,2914,3,
29-Oct-2015,2,4056,423,17:22:48,56328e2f182da77ce66b014b,60,4304_FF1234168_0002.csv,2945,12,
29-Oct-2015,2,4089,206,17:22:48,56328e2f182da77ce66b014c,59,4304_FF1234168_0002.csv,210,11,
29-Oct-2015,2,4089,258,17:22:48,56328e2f182da77ce66b014d,59,4304_FF1234168_0002.csv,221,15,
29-Oct-2015,2,4089,183,17:22:48,56328e2f182da77ce66b014e,59,4304_FF1234168_0002.csv,290,15,
29-Oct-2015,2,4089,182,17:22:48,56328e2f182da77ce66b014f,59,4304_FF1234168_0002.csv,366,8,
29-Oct-2015,2,4088,186,17:22:48,56328e2f182da77ce66b0150,59,4304_FF1234168_0002.csv,404,13,
29-Oct-2015,2,4089,225,17:22:48,56328e2f182da77ce66b0151,59,4304_FF1234168_0002.csv,405,14,
29-Oct-2015,2,4089,228,17:22:48,56328e2f182da77ce66b0152,58,4304_FF1234168_0002.csv,233,13,
29-Oct-2015,2,4088,188,17:22:48,56328e2f182da77ce66b0153,58,4304_FF1234168_0002.csv,275,12,
29-Oct-2015,2,4090,234,17:22:48,56328e2f182da77ce66b0154,58,4304_FF1234168_0002.csv,355,14,
29-Oct-2015,2,4089,177,17:22:48,56328e2f182da77ce66b0155,57,4304_FF1234168_0002.csv,283,14,
29-Oct-2015,2,4089,187,17:22:48,56328e2f182da77ce66b0156,57,4304_FF1234168_0002.csv,365,9,
29-Oct-2015,2,4089,193,17:22:48,56328e2f182da77ce66b0157,57,4304_FF1234168_0002.csv,367,7,
29-Oct-2015,2,4089,237,17:22:48,56328e2f182da77ce66b0158,56,4304_FF1234168_0002.csv,227,14,
29-Oct-2015,2,4089,201,17:22:48,56328e2f182da77ce66b0159,56,4304_FF1234168_0002.csv,282,14,
29-Oct-2015,2,4088,139,17:22:48,56328e2f182da77ce66b015a,56,4304_FF1234168_0002.csv,349,15,
29-Oct-2015,2,4089,216,17:22:48,56328e2f182da77ce66b015b,56,4304_FF1234168_0002.csv,358,13,
29-Oct-2015,2,4089,132,17:22:48,56328e2f182da77ce66b015c,56,4304_FF1234168_0002.csv,368,6,
29-Oct-2015,2,4089,214,17:22:48,56328e2f182da77ce66b015d,56,4304_FF1234168_0002.csv,426,11,
29-Oct-2015,2,4089,291,17:22:48,56328e2f182da77ce66b015e,55,4304_FF1234168_0002.csv,214,13,
29-Oct-2015,2,4087,180,17:22:48,56328e2f182da77ce66b015f,55,4304_FF1234168_0002.csv,236,11,
29-Oct-2015,2,4089,247,17:22:48,56328e2f182da77ce66b0160,55,4304_FF1234168_0002.csv,278,13,
29-Oct-2015,2,4090,233,17:22:48,56328e2f182da77ce66b0161,55,4304_FF1234168_0002.csv,294,14,
29-Oct-2015,2,4090,239,17:22:48,56328e2f182da77ce66b0162,55,4304_FF1234168_0002.csv,421,13,
29-Oct-2015,2,4057,131,17:22:48,56328e2f182da77ce66b0163,55,4304_FF1234168_0002.csv,2936,7,
29-Oct-2015,2,4057,377,17:22:48,56328e2f182da77ce66b0164,55,4304_FF1234168_0002.csv,2947,13,
29-Oct-2015,2,4091,170,17:22:48,56328e2f182da77ce66b0165,54,4304_FF1234168_0002.csv,51,6,
29-Oct-2015,2,4088,271,17:22:48,56328e2f182da77ce66b0166,54,4304_FF1234168_0002.csv,342,13,
29-Oct-2015,2,4089,301,17:22:48,56328e2f182da77ce66b0167,54,4304_FF1234168_0002.csv,414,15,
29-Oct-2015,2,4088,301,17:22:48,56328e2f182da77ce66b0168,54,4304_FF1234168_0002.csv,416,14,
29-Oct-2015,2,4090,184,17:22:48,56328e2f182da77ce66b0169,53,4304_FF1234168_0002.csv,219,14,
